mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,gmsc_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,gmsc_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,gmsc_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
240.0,240.0,43.0,78.0,0.551,11.0,30.0,0.367,12.0,16.0,0.75,5.0,29.0,34.0,20.0,2.0,3.0,12.0,12.0,109.0,,,0.641,0.622,0.385,0.205,14.7,72.5,45.9,46.5,2.2,8.8,12.4,100.0,121.6,147.3,,,9.0,14.0,0.8,4.0,7.0,1.0,4.0,6.0,1.0,3.0,7.0,9.0,4.0,1.0,2.0,4.0,3.0,22.0,17.8,10.0,0.972,1.0,1.0,1.0,17.4,78.9,42.7,29.5,2.6,23.2,50.0,39.0,172.0,155.0,NYK,109,0,1,240.0,240.0,48.0,95.0,0.505,29.0,61.0,0.475,7.0,8.0,0.875,11.0,29.0,40.0,33.0,6.0,3.0,4.0,15.0,132.0,,,0.67,0.658,0.642,0.084,27.5,85.3,54.1,68.8,6.7,6.3,3.9,100.0,147.3,121.6,,,14.0,18.0,0.778,8.0,11.0,0.727,4.0,4.0,1.0,3.0,5.0,7.0,10.0,1.0,1.0,1.0,3.0,37.0,38.1,26.0,1.0,1.0,1.0,0.222,20.3,31.9,25.7,61.3,2.8,5.2,9.1,32.5,209.0,127.0,BOS,132,1,2025,2024-10-22,False
240.0,240.0,48.0,95.0,0.505,29.0,61.0,0.475,7.0,8.0,0.875,11.0,29.0,40.0,33.0,6.0,3.0,4.0,15.0,132.0,,,0.67,0.658,0.642,0.084,27.5,85.3,54.1,68.8,6.7,6.3,3.9,100.0,147.3,121.6,,,14.0,18.0,0.778,8.0,11.0,0.727,4.0,4.0,1.0,3.0,5.0,7.0,10.0,1.0,1.0,1.0,3.0,37.0,38.1,26.0,1.0,1.0,1.0,0.222,20.3,31.9,25.7,61.3,2.8,5.2,9.1,32.5,209.0,127.0,BOS,132,1,0,240.0,240.0,43.0,78.0,0.551,11.0,30.0,0.367,12.0,16.0,0.75,5.0,29.0,34.0,20.0,2.0,3.0,12.0,12.0,109.0,,,0.641,0.622,0.385,0.205,14.7,72.5,45.9,46.5,2.2,8.8,12.4,100.0,121.6,147.3,,,9.0,14.0,0.8,4.0,7.0,1.0,4.0,6.0,1.0,3.0,7.0,9.0,4.0,1.0,2.0,4.0,3.0,22.0,17.8,10.0,0.972,1.0,1.0,1.0,17.4,78.9,42.7,29.5,2.6,23.2,50.0,39.0,172.0,155.0,NYK,109,0,2025,2024-10-22,True
240.0,240.0,35.0,85.0,0.412,13.0,41.0,0.317,20.0,27.0,0.741,12.0,35.0,47.0,17.0,4.0,1.0,16.0,22.0,103.0,,,0.532,0.488,0.482,0.318,27.9,70.0,50.5,48.6,4.2,1.5,14.2,100.0,107.4,114.7,,,10.0,25.0,0.714,5.0,13.0,0.75,5.0,7.0,1.0,3.0,11.0,14.0,4.0,2.0,1.0,4.0,5.0,27.0,13.9,13.0,0.888,0.929,1.0,0.7,11.0,29.9,20.5,20.2,3.2,2.1,26.5,31.4,139.0,122.0,MIN,103,0,1,240.0,240.0,42.0,95.0,0.442,5.0,30.0,0.167,21.0,25.0,0.84,15.0,31.0,46.0,22.0,7.0,8.0,7.0,22.0,110.0,,,0.519,0.468,0.316,0.263,30.0,72.1,49.5,52.4,7.3,18.2,6.2,100.0,114.7,107.4,,,11.0,23.0,0.8,1.0,7.0,0.333,13.0,15.0,1.0,4.0,13.0,16.0,5.0,2.0,3.0,2.0,5.0,36.0,34.0,19.0,0.85,0.8,1.0,0.667,35.8,38.6,22.0,19.3,3.2,8.7,50.0,34.6,182.0,118.0,LAL,110,1,2025,2024-10-22,False
240.0,240.0,42.0,95.0,0.442,5.0,30.0,0.167,21.0,25.0,0.84,15.0,31.0,46.0,22.0,7.0,8.0,7.0,22.0,110.0,,,0.519,0.468,0.316,0.263,30.0,72.1,49.5,52.4,7.3,18.2,6.2,100.0,114.7,107.4,,,11.0,23.0,0.8,1.0,7.0,0.333,13.0,15.0,1.0,4.0,13.0,16.0,5.0,2.0,3.0,2.0,5.0,36.0,34.0,19.0,0.85,0.8,1.0,0.667,35.8,38.6,22.0,19.3,3.2,8.7,50.0,34.6,182.0,118.0,LAL,110,1,0,240.0,240.0,35.0,85.0,0.412,13.0,41.0,0.317,20.0,27.0,0.741,12.0,35.0,47.0,17.0,4.0,1.0,16.0,22.0,103.0,,,0.532,0.488,0.482,0.318,27.9,70.0,50.5,48.6,4.2,1.5,14.2,100.0,107.4,114.7,,,10.0,25.0,0.714,5.0,13.0,0.75,5.0,7.0,1.0,3.0,11.0,14.0,4.0,2.0,1.0,4.0,5.0,27.0,13.9,13.0,0.888,0.929,1.0,0.7,11.0,29.9,20.5,20.2,3.2,2.1,26.5,31.4,139.0,122.0,MIN,103,0,2025,2024-10-22,True
240.0,240.0,40.0,91.0,0.44,17.0,43.0,0.395,19.0,25.0,0.76,12.0,31.0,43.0,21.0,8.0,6.0,19.0,32.0,116.0,,,0.569,0.533,0.473,0.275,26.7,72.1,48.9,52.5,7.7,11.5,15.7,100.0,111.8,115.6,,,14.0,27.0,0.75,7.0,13.0,0.667,8.0,8.0,1.0,3.0,5.0,8.0,8.0,3.0,2.0,6.0,5.0,36.0,26.5,8.0,0.76,0.75,0.714,1.143,21.9,36.2,22.4,46.6,4.1,6.3,60.0,34.6,154.0,125.0,BRK,116,0,1,240.0,240.0,39.0,80.0,0.488,9.0,28.0,0.321,33.0,46.0,0.717,12.0,33.0,45.0,25.0,12.0,9.0,16.0,20.0,120.0,,,0.599,0.544,0.35,0.575,27.9,73.3,51.1,64.1,11.6,18.8,13.8,100.0,115.6,111.8,,,11.0,16.0,0.917,2.0,6.0,0.5,14.0,16.0,1.0,4.0,9.0,10.0,12.0,5.0,3.0,6.0,5.0,30.0,29.4,12.0,0.956,0.917,1.0,1.0,15.7,32.8,19.6,52.7,6.7,10.5,32.4,29.3,169.0,124.0,ATL,120,1,2025,2024-10-23,False
240.0,240.0,39.0,80.0,0.488,9.0,28.0,0.321,33.0,46.0,0.717,12.0,33.0,45.0,25.0,12.0,9.0,16.0,20.0,120.0,,,0.599,0.544,0.35,0.575,27.9,73.3,51.1,64.1,11.6,18.8,13.8,100.0,115.6,111.8,,,11.0,16.0,0.917,2.0,6.0,0.5,14.0,16.0,1.0,4.0,9.0,10.0,12.0,5.0,3.0,6.0,5.0,30.0,29.4,12.0,0.956,0.917,1.0,1.0,15.7,32.8,19.6,52.7,6.7,10.5,32.4,29.3,169.0,124.0,ATL,120,1,0,240.0,240.0,40.0,91.0,0.44,17.0,43.0,0.395,19.0,25.0,0.76,12.0,31.0,43.0,21.0,8.0,6.0,19.0,32.0,116.0,,,0.569,0.533,0.473,0.275,26.7,72.1,48.9,52.5,7.7,11.5,15.7,100.0,111.8,115.6,,,14.0,27.0,0.75,7.0,13.0,0.667,8.0,8.0,1.0,3.0,5.0,8.0,8.0,3.0,2.0,6.0,5.0,36.0,26.5,8.0,0.76,0.75,0.714,1.143,21.9,36.2,22.4,46.6,4.1,6.3,60.0,34.6,154.0,125.0,BRK,116,0,2025,2024-10-23,True
240.0,240.0,42.0,83.0,0.506,9.0,31.0,0.29,22.0,25.0,0.88,7.0,32.0,39.0,32.0,10.0,8.0,15.0,23.0,115.0,,,0.612,0.56,0.373,0.301,21.2,72.7,50.6,76.2,10.1,14.5,13.8,100.0,116.6,110.5,,,8.0,18.0,0.875,3.0,9.0,0.667,7.0,9.0,1.0,3.0,9.0,9.0,9.0,3.0,4.0,4.0,4.0,20.0,23.2,20.0,1.136,0.875,1.0,1.125,22.9,34.6,19.8,58.6,5.2,13.9,53.2,46.4,152.0,122.0,IND,115,0,1,240.0,240.0,38.0,88.0,0.432,9.0,33.0,0.273,24.0,28.0,0.857,12.0,26.0,38.0,22.0,6.0,2.0,14.0,21.0,109.0,,,0.543,0.483,0.375,0.318,27.3,78.8,49.4,57.9,6.1,3.8,12.2,100.0,110.5,116.6,,,10.0,23.0,1.0,4.0,7.0,0.571,7.0,9.0,1.0,4.0,9.0,13.0,8.0,2.0,1.0,2.0,3.0,28.0,21.2,9.0,1.0,1.0,0.778,1.5,14.5,46.7,27.0,68.1,6.4,5.4,50.0,31.8,205.0,123.0,DET,109,1,2025,2024-10-23,True
240.0,240.0,38.0,88.0,0.432,9.0,33.0,0.273,24.0,28.0,0.857,12.0,26.0,38.0,22.0,6.0,2.0,14.0,21.0,109.0,,,0.543,0.483,0.375,0.318,27.3,78.8,49.4,57.9,6.1,3.8,12.2,100.0,110.5,116.6,,,10.0,23.0,1.0,4.0,7.0,0.571,7.0,9.0,1.0,4.0,9.0,13.0,8.0,2.0,1.0,2.0,3.0,28.0,21.2,9.0,1.0,1.0,0.778,1.5,14.5,46.7,27.0,68.1,6.4,5.4,50.0,31.8,205.0,123.0,DET,109,1,0,240.0,240.0,42.0,83.0,0.506,9.0,31.0,0.29,22.0,25.0,0.88,7.0,32.0,39.0,32.0,10.0,8.0,15.0,23.0,115.0,,,0.612,0.56,0.373,0.301,21.2,72.7,50.6,76.2,10.1,14.5,13.8,100.0,116.6,110.5,,,8.0,18.0,0.875,3.0,9.0,0.667,7.0,9.0,1.0,3.0,9.0,9.0,9.0,3.0,4.0,4.0,4.0,20.0,23.2,20.0,1.136,0.875,1.0,1.125,22.9,34.6,19.8,58.6,5.2,13.9,53.2,46.4,152.0,122.0,IND,115,0,2025,2024-10-23,False
240.0,240.0,38.0,85.0,0.447,15.0,39.0,0.385,19.0,24.0,0.792,15.0,41.0,56.0,20.0,6.0,10.0,17.0,21.0,110.0,,,0.576,0.535,0.459,0.282,35.7,71.9,56.6,52.6,6.2,16.7,15.1,100.0,113.9,108.7,,,10.0,20.0,0.75,4.0,12.0,0.667,10.0,10.0,1.0,3.0,9.0,9.0,11.0,1.0,2.0,4.0,5.0,34.0,33.0,14.0,0.697,0.75,0.667,0.667,15.3,23.5,16.5,55.0,4.6,10.7,26.7,30.9,157.0,116.0,CHO,110,0,1,240.0,240.0,38.0,103.0,0.369,13.0,43.0,0.302,16.0,20.0,0.8,16.0,27.0,43.0,19.0,8.0,4.0,8.0,18.0,105.0,,,0.47,0.432,0.417,0.194,28.1,64.3,43.4,50.0,8.3,8.7,6.7,100.0,108.7,113.9,,,10.0,23.0,0.5,5.0,15.0,1.0,5.0,5.0,1.0,6.0,12.0,18.0,6.0,4.0,1.0,3.0,4.0,28.0,25.4,14.0,0.625,0.625,0.714,0.429,24.1,40.5,25.8,31.8,7.7,6.7,37.5,31.7,160.0,125.0,HOU,105,1,2025,2024-10-23,True
240.0,240.0,38.0,103.0,0.369,13.0,43.0,0.302,16.0,20.0,0.8,16.0,27.0,43.0,19.0,8.0,4.0,8.0,18.0,105.0,,,0.47,0.432,0.417,0.194,28.1,64.3,43.4,50.0,8.3,8.7,6.7,100.0,108.7,113.9,,,10.0,23.0,0.5,5.0,15.0,1.0,5.0,5.0,1.0,6.0,12.0,18.0,6.0,4.0,1.0,3.0,4.0,28.0,25.4,14.0,0.625,0.625,0.714,0.429,24.1,40.5,25.8,31.8,7.7,6.7,37.5,31.7,160.0,125.0,HOU,105,1,0,240.0,240.0,38.0,85.0,0.447,15.0,39.0,0.385,19.0,24.0,0.792,15.0,41.0,56.0,20.0,6.0,10.0,17.0,21.0,110.0,,,0.576,0.535,0.459,0.282,35.7,71.9,56.6,52.6,6.2,16.7,15.1,100.0,113.9,108.7,,,10.0,20.0,0.75,4.0,12.0,0.667,10.0,10.0,1.0,3.0,9.0,9.0,11.0,1.0,2.0,4.0,5.0,34.0,33.0,14.0,0.697,0.75,0.667,0.667,15.3,23.5,16.5,55.0,4.6,10.7,26.7,30.9,157.0,116.0,CHO,110,0,2025,2024-10-23,False
